Fighter,Date,Win,Weight Class,Gender,Win Difference,Loss Difference,Total Rounds Fought Diff,Height Difference,Reach Difference,Age Difference,Sig. Strike Difference,Sub. Attempt Diff,TD Diff,Weight Difference
Vinc Pichel,8/15/2020,1,Lightweight,MALE,-16,-11,-61,2,1,1,0.48,-1.5,-1.08,0
Livinha Souza,8/15/2020,1,Women's Strawweight,FEMALE,0,-3,-11,-4,-6,-3,-1.31,1.4,-0.83,0
Virna Jandiroba,8/15/2020,1,Women's Strawweight,FEMALE,-4,-2,-16,-1,-1,-3,-2.56,1.2,-0.74,0
Daniel Pineda,8/15/2020,1,Featherweight,MALE,1,4,11,-2,-3,3,0.39,-4.9,-4.34,0
Danny Chavez,8/15/2020,1,Featherweight,MALE,0,-1,-2,-1,-4,3,-3.47,-0.7,-8.33,0
Parker Porter,8/15/2020,0,Heavyweight,MALE,0,0,0,-6.28346457,-6.28346457,0,8.54,1.9,1,4
Aleksei Oleinik,8/8/2020,0,Heavyweight,MALE,-6,-1,-25,-1,1,8,1.19,2.2,-0.02,-20
Chris Weidman,8/8/2020,1,Middleweight,MALE,2,2,6,2,5,4,0.15,0.8,-1.9,20
Darren Stewart,8/8/2020,1,Middleweight,MALE,3,3,15,2,-1,0,-2.28,-0.7,-1.54,15
Julija Stoliarenko,8/8/2020,0,Women's Bantamweight,FEMALE,-2,-1,-7,1,-2,-3,-1.25,0.7,-2.39,0
Scott Holtzman,8/8/2020,0,Lightweight,MALE,-5,-1,-6,-1,-3,5,0.65,-0.9,-1.2,0
Laureano Staropoli,8/8/2020,0,Welterweight,MALE,-9,-8,-36,-1,-4,-9,-0.58,-0.2,-0.66,0
Joaquin Buckley,8/8/2020,0,Middleweight,MALE,-4,-2,-15,-5,-8,-1,-4.29,-1.1,-1.26,15
Alex Munoz,8/8/2020,0,Lightweight,MALE,-3,-2,-12,-1,-3,6,-1.18,0,0.37,0
Wellington Turman,8/8/2020,0,Middleweight,MALE,-3,-2,-15,-1,-2,-8,-2.06,1,-1.88,0
Justin Jaynes,8/8/2020,0,Featherweight,MALE,-1,-1,-8,1,2,-4,20.75,-1,-2.08,10
Peter Barrett,8/8/2020,0,Featherweight,MALE,-2,0,-6,0,1,10,4.27,-1,-2.75,0
Ali Qaisi,8/8/2020,0,Bantamweight,MALE,0,-1,-3,2,2,-2,-2.27,0,0,0
Edmen Shahbazyan,8/1/2020,0,Middleweight,MALE,-10,-6,-30,1,-3,-14,0.72,0.3,-2.4,0
Jennifer Maia,8/1/2020,1,Women's Flyweight,FEMALE,-4,-2,-12,-2,-1,-3,-2.14,-0.5,-1.35,0
Randy Brown,8/1/2020,0,Welterweight,MALE,-5,0,-5,4,3,2,-2.25,-0.2,-0.27,0
Bobby Green,8/1/2020,1,Lightweight,MALE,7,3,25,1,0,5,0.29,0,-0.84,0
Jonathan Martinez,8/1/2020,1,Bantamweight,MALE,-3,-2,-13,2,4,-13,-0.3,-0.1,-1.49,0
Nate Maness,8/1/2020,1,Featherweight,MALE,0,0,0,1,1,2,0,0,0,-10
Vince Cachero,8/1/2020,0,Featherweight,MALE,0,-1,-3,-4,-6,-1,-4.96,0,-1.42,0
Darren Till,7/25/2020,0,Middleweight,MALE,-5,-1,-13,0,1,-2,-2.36,0,0.05,0
Rogerio Nogueira,7/25/2020,0,Light Heavyweight,MALE,-7,-3,-19,1,-1,6,-1.24,0,-1.73,0
Alexander Gustafsson,7/25/2020,0,Heavyweight,MALE,-12,-3,-29,1,2,-9,0.41,-0.7,-1.32,-26
Marina Rodriguez,7/25/2020,0,Women's Strawweight,FEMALE,-5,-4,-20,5,2,1,3.3,-0.1,-2.95,0
Gadzhimurad Antigulov,7/25/2020,0,Light Heavyweight,MALE,-2,-2,-14,-4,-6,1,-0.01,2,-1.24,0
Peter Sobotta,7/25/2020,0,Welterweight,MALE,-6,-1,-17,1,-1,1,-0.71,0,-2.34,0
Rhys McKee,7/25/2020,0,Welterweight,MALE,-1,0,-2,-1,-2,4,-6.94,-2.4,-4.84,-15
Jai Herbert,7/25/2020,0,Lightweight,MALE,-15,-6,-53,4,3,-9,-3.13,-0.5,-1.02,0
Jesse Ronson,7/25/2020,1,Welterweight,MALE,-2,1,-6,-1,-2,-1,0.06,0.3,-1.4,-15
Jake Collier,7/25/2020,0,Heavyweight,MALE,3,3,14,-2,1,4,4.15,0.5,0.23,-51
Mike Grundy,7/25/2020,0,Featherweight,MALE,-1,0,-4,0,0,7,-0.63,0,-4.17,0
Raphael Pessoa,7/25/2020,0,Heavyweight,MALE,-1,0,-3,1,3,3,-1.88,0,0,7
Pannie Kianzad,7/25/2020,1,Women's Bantamweight,FEMALE,-4,-2,-19,2,2,-9,-0.44,0.4,-0.17,0
Niklas Stolze,7/25/2020,0,Welterweight,MALE,-3,-1,-12,2,-4,-6,-2.38,-0.2,-1.5,0
John Castaneda,7/25/2020,0,Bantamweight,MALE,-3,-1,-10,1,1,1,-1.1,-1.5,-1.62,0
Joseph Benavidez,7/18/2020,0,Flyweight,MALE,14,5,49,-1,-3,3,0.99,-1.8,-1.51,0
Kelvin Gastelum,7/18/2020,0,Middleweight,MALE,3,2,23,-4,-6,-4,-1.38,-0.6,-1.88,0
Rafael Fiziev,7/18/2020,1,Lightweight,MALE,-4,-2,-17,-2,-2,0,1.22,0,-1.5,0
Luana Carolina,7/18/2020,0,Women's Flyweight,FEMALE,0,-2,-6,0,2,1,3.15,1.7,-0.33,0
Askar Askarov,7/18/2020,1,Flyweight,MALE,-5,-2,-12,1,0,-3,-1.15,-1.3,-0.88,0
Khadis Ibragimov,7/18/2020,0,Light Heavyweight,MALE,0,2,6,1,2,-7,5.23,0,0.3,0
Nad Narimani,7/18/2020,0,Catch Weight,MALE,-1,1,1,-2,-2,7,0.32,-2.5,-4.68,0
Joel Alvarez,7/18/2020,1,Lightweight,MALE,-3,-2,-9,5,4,-6,-0.01,-0.8,-0.75,0
Montel Jackson,7/18/2020,0,Bantamweight,MALE,-1,-1,-6,3,4,0,0.86,-0.8,-3.5,0
Amir Albazi,7/18/2020,1,Flyweight,MALE,0,0,0,-2,-3,-4,0,0,0,0
Arman Tsarukyan,7/18/2020,1,Lightweight,MALE,-3,-1,-8,1,2,-10,-0.74,-0.7,-2.29,0
Serghei Spivac,7/18/2020,1,Heavyweight,MALE,1,2,6,3,3,0,2.08,0.6,0.66,15
Dan Ige,7/15/2020,0,Featherweight,MALE,1,-1,1,-4,-1,-4,-1.17,0.7,-0.08,0
Ryan Benoit,7/15/2020,0,Flyweight,MALE,-1,-5,-16,-2,2,-3,-0.61,-1,-4.15,0
Cody Stamann,7/15/2020,0,Featherweight,MALE,-1,-2,-3,2,-4,-1,0.41,0,-0.22,0
Taila Santos,7/15/2020,1,Women's Flyweight,FEMALE,-3,0,-8,1,6,-3,-2.26,0.1,-1.59,0
Mounir Lazzez,7/15/2020,1,Welterweight,MALE,-4,-1,-7,3,0,-2,-4.59,0,-0.57,0
Khamzat Chimaev,7/15/2020,1,Middleweight,MALE,-1,-3,-8,3,-1,-9,-2.64,0,0,0
Lerone Murphy,7/15/2020,1,Featherweight,MALE,-5,-1,-11,0,1,4,-1.18,1.3,-2.13,0
Andreas Michailidis,7/15/2020,0,Light Heavyweight,MALE,0,0,0,-3,-3,5,0,0,0,-20
Chris Fishgold,7/15/2020,0,Featherweight,MALE,-2,-1,-8,-1,0,-3,-3.73,1.5,-2.48,0
Liana Jojua,7/15/2020,1,Women's Flyweight,FEMALE,0,0,0,-3,-6,1,-5,0,-0.34,0
Aaron Phillips,7/15/2020,0,Bantamweight,MALE,-1,2,3,1,-1,5,-1.71,-0.7,-4.67,0
Jorge Masvidal,7/11/2020,0,Welterweight,MALE,6,7,27,-1,-2,3,-0.27,0.2,-2.85,0
Max Holloway,7/11/2020,0,Featherweight,MALE,9,5,42,5,-2,-3,0.51,0,-1.33,0
Jose Aldo,7/11/2020,0,Bantamweight,MALE,12,5,53,0,3,6,-2.18,-0.1,-1.08,0
Rose Namajunas,7/11/2020,1,Women's Strawweight,FEMALE,-5,-2,-11,4,3,0,-2.6,0.4,-2.66,0
Paige VanZant,7/11/2020,0,Women's Flyweight,FEMALE,2,3,14,1,-1,0,-1.44,-0.6,-1.69,0
Jiri Prochazka,7/11/2020,1,Light Heavyweight,MALE,-5,-3,-18,2,1,-3,-4.88,0,-0.39,0
Muslim Salikhov,7/11/2020,1,Welterweight,MALE,-5,-1,-17,0,-3,3,-1.25,-0.5,-0.23,0
Danny Henry,7/11/2020,0,Featherweight,MALE,-3,-1,-11,2,1,0,4.25,1.2,-3.06,0
Roman Bogatov,7/11/2020,0,Lightweight,MALE,-6,0,-15,-4,-7,-11,-2.4,-0.4,-1.1,0
Maxim Grishin,7/11/2020,0,Heavyweight,MALE,-5,-5,-28,0,0,2,-3.52,-0.1,-1.54,16
Zhalgas Zhamagulov,7/11/2020,0,Flyweight,MALE,-1,-2,-6,-4,-5,7,-4.81,-0.3,-0.35,0
Vanessa Melo,7/11/2020,0,Women's Bantamweight,FEMALE,-1,2,3,0,-2,7,-7.8,0,0,0
Davey Grant,7/11/2020,1,Bantamweight,MALE,2,2,9,-2,-4,3,-2.47,-1,-0.53,0
Dan Hooker,6/27/2020,0,Lightweight,MALE,-8,-2,-25,3,3,-1,-0.75,-0.9,-1.27,0
Mickey Gall,6/27/2020,0,Welterweight,MALE,-1,-4,-14,4,3,0,-2.05,2.7,-0.23,0
Kyle Daukaus,6/27/2020,0,Middleweight,MALE,-2,0,-3,1,1,3,1.91,-0.5,-2.28,0
Maurice Greene,6/27/2020,1,Heavyweight,MALE,-7,-8,-41,4,4,-1,-0.07,0.5,-0.53,53
Khama Worthy,6/27/2020,1,Lightweight,MALE,-3,-2,-15,-4,-1,7,1.62,-1,-1,0
Miranda Maverick,6/27/2020,0,Women's Flyweight,FEMALE,-2,-4,-14,-3,-4,-12,-2.54,-0.2,-1.66,0
Tanner Boser,6/27/2020,1,Heavyweight,MALE,1,0,3,0,-3,-6,1.44,0,0,15
Julian Erosa,6/27/2020,1,Catch Weight,MALE,0,4,9,-1,-4,2,-1.09,0.8,0.6,0
Jason Witt,6/27/2020,0,Welterweight,MALE,-1,-1,-5,0,-3,3,-3.13,0,-0.82,0
Jinh Yu Frey,6/27/2020,0,Women's Strawweight,FEMALE,0,0,0,-1,-1,15,0,0,0,0
Youssef Zalal,6/27/2020,1,Featherweight,MALE,0,-2,-5,0,-1,-7,-0.8,-0.5,0.15,0
Alexander Volkov,6/20/2020,0,Heavyweight,MALE,-3,-1,-6,3,0,2,1.62,0.2,-5.88,-15
Shane Burgos,6/20/2020,0,Featherweight,MALE,0,-1,0,5,5,-6,3.46,0,-0.5,0
Marion Reneau,6/20/2020,0,Women's Bantamweight,FEMALE,-2,-1,-8,-1,1,12,0.14,0.3,-0.13,0
Lyman Good,6/20/2020,0,Welterweight,MALE,-4,-1,-18,1,2,4,0.95,-0.2,-1.15,0
Roosevelt Roberts,6/20/2020,0,Catch Weight,MALE,-16,-12,-64,6,2,-10,0.29,-0.8,-1.12,0
Bobby Green,6/20/2020,1,Lightweight,MALE,-8,-7,-40,3,1,-5,2.5,-0.4,-3.1,0
Brianna Van Buren,6/20/2020,0,Women's Strawweight,FEMALE,-5,-5,-29,-1,2,-4,0.76,-0.1,0.08,0
Oskar Piechota,6/20/2020,0,Middleweight,MALE,2,0,0,-1,2,0,-0.34,1.9,0.17,0
Gillian Robertson,6/20/2020,1,Women's Flyweight,FEMALE,-1,-4,-18,-2,-4,-8,-2.54,0.6,0.13,0
Justin Jaynes,6/20/2020,1,Lightweight,MALE,-2,-4,-14,-3,-6,-1,-6.68,0,-1.18,-15
Lauren Murphy,6/20/2020,1,Women's Flyweight,FEMALE,1,-2,-2,-2,-2,-1,0.7,-0.1,-1.13,0
Max Rohskopf,6/20/2020,0,Lightweight,MALE,-1,-2,-9,3,3,-3,-3.02,0,-1,0
Cynthia Calvillo,6/13/2020,1,Women's Flyweight,FEMALE,0,-5,4,-2,-2,-1,0.33,0.9,-0.03,-10
Marvin Vettori,6/13/2020,1,Middleweight,MALE,0,0,1,-1,0,-3,0.89,-0.2,-0.62,0
Kevin Aguilar,6/13/2020,0,Lightweight,MALE,-1,-2,-13,-2,4,-2,0.52,-1,-1.85,10
Charles Jourdain,6/13/2020,0,Featherweight,MALE,-7,-5,-12,-2,-5,-5,0.85,-0.2,-2.49,0
Mark De La Rosa,6/13/2020,0,Bantamweight,MALE,1,2,1,0,-4,-5,-0.97,-0.2,-0.7,10
Hannah Cifers,6/13/2020,0,Women's Flyweight,FEMALE,2,3,0,-5,-6,4,2.11,0.3,1,-10
Gustavo Lopez,6/13/2020,0,Catch Weight,MALE,-3,-2,-7,-1,-1,1,-3.84,0,-7.8,0
Gina Mazany,6/13/2020,0,Women's Bantamweight,FEMALE,0,3,1,-1,0,-1,-0.55,0,0.77,0
Zarrukh Adashev,6/13/2020,0,Bantamweight,MALE,0,-2,0,-2,-3,-9,-3,0,0,0
Christian Aguilera,6/13/2020,1,Welterweight,MALE,0,0,0,-5,-2,-2,0,0,0,-15
Felicia Spencer,6/6/2020,0,Women's Featherweight,FEMALE,-11,-1,-27,-2,-1,-3,0.2,0,-2.17,0
Cody Garbrandt,6/6/2020,1,Bantamweight,MALE,-8,-3,-36,3,-1,-9,0.21,-0.3,-1.21,0
Cory Sandhagen,6/6/2020,0,Bantamweight,MALE,-5,-3,-24,4,-1,-2,2.29,-0.2,-1.41,0
Anthony Rocco Martin,6/6/2020,0,Welterweight,MALE,-6,-1,-17,-3,-7,-2,-1.23,0.8,-2.45,0
Sean O'Malley,6/6/2020,1,Bantamweight,MALE,-8,-9,-40,4,3,-10,3.46,1.1,0.22,0
Chase Hooper,6/6/2020,0,Featherweight,MALE,-9,-10,-54,3,1,-11,1.18,3,-0.37,0
Gerald Meerschaert,6/6/2020,0,Middleweight,MALE,4,2,9,2,5,1,-0.06,1.2,-0.75,0
Brian Kelleher,6/6/2020,0,Featherweight,MALE,1,2,-2,0,2,3,0.4,0.8,-3.35,10
Maki Pitolo,6/6/2020,1,Middleweight,MALE,-1,-1,-1,0,2,-7,1.56,-1,-2.52,-15
Alex Perez,6/6/2020,1,Flyweight,MALE,-4,-5,-26,1,-2,-7,3.13,0.9,-1.37,0
Devin Clark,6/6/2020,1,Light Heavyweight,MALE,3,4,19,0,-1,-2,-1.95,0.1,0.42,0
Herbert Burns,6/6/2020,1,Catch Weight,MALE,-10,-8,-48,-1,3,-6,-3.04,4.8,-0.83,-10
Gilbert Burns,5/30/2020,1,Welterweight,MALE,-6,-1,-27,1,-3,-5,0.63,0.2,-0.83,0
Augusto Sakai,5/30/2020,1,Heavyweight,MALE,1,-2,-7,4,4,-4,2.42,-0.2,-0.57,15
Spike Carlyle,5/30/2020,0,Catch Weight,MALE,0,0,-1,-2,1,-4,3.35,-4,-0.8,0
Brok Weaver,5/30/2020,0,Lightweight,MALE,-2,-1,-9,-2,0,2,2.7,0.3,-1.84,0
Hannah Cifers,5/30/2020,0,Women's Strawweight,FEMALE,0,1,3,-3,-1,0,1.58,-0.6,0.54,0
Antonina Shevchenko,5/30/2020,0,Women's Flyweight,FEMALE,-4,-2,-19,-1,-1,4,0.79,0.9,1,0
Gabe Green,5/30/2020,0,Welterweight,MALE,-1,0,-2,-3,-1,-6,-6.65,-0.6,-2.54,0
Klidson Abreu,5/30/2020,0,Light Heavyweight,MALE,0,2,6,-4,-5,-2,-5.9,0,0.2,0
Brandon Royval,5/30/2020,1,Flyweight,MALE,-4,-8,-31,2,2,-6,-3.49,-1.2,-4.14,0
Casey Kenney,5/30/2020,1,Bantamweight,MALE,-5,-5,-21,-3,-5,1,-0.83,-1.5,-1.15,0
Vince Morales,5/30/2020,0,Featherweight,MALE,-1,1,1,-2,3,0,1.19,0,-0.38,0
Walt Harris,5/16/2020,0,Heavyweight,MALE,-26,-8,-54,1,-3,-3,-0.69,-0.7,-1.07,-15
Angela Hill,5/16/2020,0,Women's Strawweight,FEMALE,0,4,7,-1,1,4,2.36,-0.5,-2.76,0
Edson Barboza,5/16/2020,0,Featherweight,MALE,8,8,41,4,4,6,-0.04,-0.6,-1.71,0
Eryk Anders,5/16/2020,0,Middleweight,MALE,-4,1,-7,0,-2,3,0.04,0,-0.93,0
Marlon Vera,5/16/2020,0,Featherweight,MALE,4,5,21,0,3,5,-0.62,0.8,-0.31,0
Matt Brown,5/16/2020,0,Welterweight,MALE,13,11,54,-2,1,12,-0.97,0.4,-0.07,0
Anthony Hernandez,5/16/2020,0,Middleweight,MALE,-3,0,-10,-3,-6,-1,0.74,-0.2,-0.6,15
Darren Elkins,5/16/2020,0,Featherweight,MALE,13,7,53,1,-1,5,-3.35,1.2,0.33,0
Mara Romero Borella,5/16/2020,0,Women's Flyweight,FEMALE,-3,-2,-13,-1,2,0,-2.18,-0.5,0.09,0
Don'Tale Mayes,5/16/2020,0,Heavyweight,MALE,-1,2,3,4,1,1,-0.25,-2.9,-2.9,14
Glover Teixeira,5/13/2020,1,Light Heavyweight,MALE,6,0,9,-2,0,9,0.35,0.2,-0.03,0
Ovince Saint Preux,5/13/2020,0,Heavyweight,MALE,4,2,17,-1,2,-1,-0.75,0.3,-0.26,-35
Drew Dober,5/13/2020,1,Lightweight,MALE,6,4,19,-1,-2,4,1.44,0.1,-1.35,0
Ray Borg,5/13/2020,0,Bantamweight,MALE,4,2,20,-2,-6,-1,-1.6,0.9,-6.02,0
Philipe Lins,5/13/2020,0,Heavyweight,MALE,-19,-17,-77,-1,1,-7,-3.55,-0.3,-0.52,0
Thiago Moises,5/13/2020,1,Lightweight,MALE,-10,-9,-47,-1,-3,-8,-1.26,1.4,-0.16,0
Sarah Moras,5/13/2020,0,Women's Bantamweight,FEMALE,1,2,6,3,0,-3,-2.73,1.1,-1.77,0
Omar Morales,5/13/2020,1,Lightweight,MALE,-4,-3,-14,3,2,3,-0.72,-1.5,0.79,0
Brian Kelleher,5/13/2020,1,Featherweight,MALE,3,3,10,-2,-3,5,0.87,-1.6,-1.71,0
Ike Villanueva,5/13/2020,0,Heavyweight,MALE,-2,-5,-17,-3,-5,6,-5.81,0,0,-25
Niko Price,5/9/2020,0,Welterweight,MALE,-4,0,-10,1,1,-2,-2.12,0.3,-0.59,0
Charles Rosa,5/9/2020,0,Featherweight,MALE,0,3,9,-1,-1,8,2.01,-0.6,-1.41,0
Sam Alvey,5/9/2020,0,Light Heavyweight,MALE,7,8,32,-3,-4,6,-0.21,-2.3,-0.44,0
Donald Cerrone,5/9/2020,0,Welterweight,MALE,15,4,37,3,1,4,1.36,0.1,-0.31,0
Fabricio Werdum,5/9/2020,0,Heavyweight,MALE,15,4,52,2,-3,-1,0.53,-1.7,-2.71,-9
Michelle Waterson,5/9/2020,0,Women's Strawweight,FEMALE,1,-1,-1,2,-1,2,1.13,0.9,-3.03,0
Jacare Souza,5/9/2020,0,Middleweight,MALE,11,0,29,1,-7,5,-0.77,1.2,-0.37,0
Justin Gaethje,5/9/2020,1,Lightweight,MALE,-11,1,-23,0,-6,-5,2.76,-1.4,-0.56,0
Dominick Cruz,5/9/2020,0,Bantamweight,MALE,3,0,21,4,4,2,-0.29,-0.1,-1.66,0
Jairzinho Rozenstruik,5/9/2020,0,Heavyweight,MALE,-5,-2,-9,0,-5,-1,1.57,-0.5,0,-8
Calvin Kattar,5/9/2020,1,Featherweight,MALE,-11,-14,-68,2,1,-1,2.03,-0.4,-0.85,0
Yorgan De Castro,5/9/2020,0,Heavyweight,MALE,-1,-2,-9,-5,-6,2,-1.19,0,0,-15
Charles Oliveira,3/14/2020,1,Lightweight,MALE,5,3,4,1,-3,3,-0.69,1.9,-2.81,-15
Gilbert Burns,3/14/2020,1,Welterweight,MALE,-12,-6,-55,-3,-1,-9,1.27,-0.3,-2.11,0
Damir Hadzovic,3/14/2020,0,Lightweight,MALE,-2,0,-3,-2,-2,3,-2.53,-0.2,-0.56,0
Nikita Krylov,3/14/2020,1,Light Heavyweight,MALE,4,4,16,-3,-5,1,-0.31,-0.4,-0.37,0
John Makdessi,3/14/2020,0,Lightweight,MALE,-4,0,-11,-1,-2,-7,2.34,-0.5,-1.08,0
Brandon Moreno,3/14/2020,1,Flyweight,MALE,-5,-3,-14,2,3,-8,1.74,0,-1.52,0
Randa Markos,3/14/2020,0,Women's Strawweight,FEMALE,4,6,30,1,-3,8,-1.28,-1.1,-2.44,0
Aleksei Kunchenko,3/14/2020,0,Welterweight,MALE,-5,-1,-13,-3,-3,2,-0.56,-0.6,-0.12,0
Maryna Moroz,3/14/2020,1,Women's Flyweight,FEMALE,3,3,18,1,1,0,1.01,-2.5,0.14,-10
David Dvorak,3/14/2020,1,Flyweight,MALE,0,-1,-3,1,3,-2,-1.54,0,-2.31,-10
Bea Malecki,3/14/2020,1,Women's Bantamweight,FEMALE,0,-3,-7,5,10,4,0.82,3.5,-0.8,10
Yoel Romero,3/7/2020,0,Middleweight,MALE,2,4,19,-4,-7,12,-0.75,-0.4,0.31,0
Joanna Jedrzejczyk,3/7/2020,0,Women's Strawweight,FEMALE,6,3,42,2,2,2,-0.04,-0.8,-1.13,0
Drakkar Klose,3/7/2020,0,Lightweight,MALE,-6,-3,-15,-1,-2,1,0.03,-0.9,-1.47,0
Li Jingliang,3/7/2020,0,Welterweight,MALE,-5,-3,-23,-3,-9,-1,1.04,-0.3,-2.26,0
Max Griffin,3/7/2020,0,Welterweight,MALE,-6,-1,-14,0,0,2,1.32,-0.1,-2.32,0
Jose Quinonez,3/7/2020,0,Bantamweight,MALE,3,2,12,-3,-3,4,-3.26,-0.6,-0.86,0
Austin Hubbard,3/7/2020,0,Lightweight,MALE,0,1,5,2,-1,-7,-15.16,0,-11.9,0
Saparbeg Safarov,3/7/2020,0,Middleweight,MALE,0,2,4,1,5,3,2.38,-1.6,-4.36,20
Deron Winn,3/7/2020,0,Middleweight,MALE,-4,-3,-12,-7,-7,-2,3.87,-1.8,-2.23,0
Giga Chikadze,3/7/2020,1,Featherweight,MALE,1,0,3,2,0,1,-4.94,0,0.33,0
Guido Cannetti,3/7/2020,0,Bantamweight,MALE,2,2,8,-1,-2,10,-2.87,0.3,0.5,0
Deiveson Figueiredo,2/29/2020,1,Flyweight,MALE,-15,-4,-49,1,3,-3,-1.02,1.8,-1.06,0
Zarah Fairn,2/29/2020,0,Women's Featherweight,FEMALE,-1,0,-3,2,4,4,-2.75,-0.8,-0.82,0
Magomed Ankalaev,2/29/2020,1,Light Heavyweight,MALE,-1,-2,-4,2,0,1,-1.95,0,-2.29,0
Norma Dumont,2/29/2020,0,Women's Featherweight,FEMALE,-2,-2,-6,-5,-5,-1,-1.8,-0.6,-0.64,-10
Darrick Minner,2/29/2020,0,Featherweight,MALE,-2,0,-5,-3,-2,3,3.09,-2.1,-5.23,0
Kyler Phillips,2/29/2020,1,Bantamweight,MALE,0,-1,-3,2,-0.52755906,-1,17.73,0,-1,0
Tom Breese,2/29/2020,0,Middleweight,MALE,3,1,7,1,-2,4,1.85,-5.9,-3.74,0
Steve Garcia,2/29/2020,0,Lightweight,MALE,-3,-2,-13,-3,0,1,5.19,-1,-1.25,0
Serghei Spivac,2/29/2020,0,Heavyweight,MALE,-3,-4,-22,0,0,1,-0.96,1.5,-0.73,11
TJ Brown,2/29/2020,0,Featherweight,MALE,0,-2,-6,-1,-1,-1,0.16,-0.6,0.27,0
Spike Carlyle,2/29/2020,1,Featherweight,MALE,0,0,0,-5,-7,-4,-9.04,0,0,0
Ismail Naurdiev,2/29/2020,0,Welterweight,MALE,1,1,6,0,2,-4,-4.53,0.3,-1.17,0
Dan Hooker,2/22/2020,1,Lightweight,MALE,0,0,-4,1,5,-5,1.18,0.1,0.04,0
Michal Oleksiejczuk,2/22/2020,0,Light Heavyweight,MALE,0,0,2,-2,0,2,0.83,-2.3,0.08,0
Yan Xiaonan,2/22/2020,1,Women's Strawweight,FEMALE,-1,-5,-16,2,-1,-4,1.28,0,0.14,0
Marcos Rogerio De Lima,2/22/2020,1,Heavyweight,MALE,5,5,13,4,3,4,1.33,0.8,0.6,-12
Magomed Mustafaev,2/22/2020,0,Lightweight,MALE,2,1,4,1,0,3,-2.96,0.7,-1,0
Zubaira Tukhugov,2/22/2020,1,Featherweight,MALE,1,0,4,1,-5,-2,-1.5,0,0.31,0
Joshua Culibao,2/22/2020,0,Lightweight,MALE,-1,-2,-5,-5,-7,1,-5.66,-0.6,-0.61,0
Emil Meek,2/22/2020,0,Welterweight,MALE,-7,-2,-19,0,1,6,-0.83,0.5,-1.49,0
Song Kenan,2/22/2020,1,Welterweight,MALE,2,0,5,0,-1,-6,0.92,0,-2.83,0
Tyson Nam,2/22/2020,0,Flyweight,MALE,-3,0,-9,3,-1,10,-2.61,0,-0.75,0
Angela Hill,2/22/2020,1,Women's Strawweight,FEMALE,5,7,31,2,3,11,-0.63,0.1,-0.59,0
Shana Dobson,2/22/2020,0,Women's Flyweight,FEMALE,1,-1,0,-1,4,-1,-0.14,0,0.25,0
Junior Dos Santos,6/29/2019,0,Heavyweight,MALE,7,2,30,0,-6,3,2.51,-0.4,0.55,-12
Joseph Benavidez,6/29/2019,1,Flyweight,MALE,11,1,31,-1,-2,0,2.08,0,-1.64,0
Rocco Martin,6/29/2019,0,Welterweight,MALE,-12,-5,-47,-1,1,-12,0.88,0.1,-2.24,0
Vinc Pichel,6/29/2019,1,Lightweight,MALE,2,2,9,-4,-1,11,0.42,-0.1,-1.24,0
Marco Polo Reyes,6/29/2019,0,Lightweight,MALE,-3,-3,-15,3,1,4,1.49,-0.1,-0.95,0
Paul Craig,6/29/2019,0,Light Heavyweight,MALE,2,3,12,3,0,0,-2.74,1.5,0.21,0
Journey Newson,6/29/2019,0,Bantamweight,MALE,-3,-1,-10,-4,-5,7,-0.24,0.3,-2.13,0
Vinicius Moreira,6/29/2019,0,Light Heavyweight,MALE,-3,-3,-20,3,1,-2,-0.27,1.6,-1.33,0
Dan Moret,6/29/2019,0,Lightweight,MALE,-2,0,-4,3,5,2,-3.59,0.4,-2.71,0
Dequan Townsend,6/29/2019,0,Light Heavyweight,MALE,0,0,0,7,3,2,-0.64,0,-2.83,0
Amanda Ribas,6/29/2019,1,Women's Strawweight,FEMALE,-2,-1,-5,-2,3,-3,1.45,0.8,-0.61,0
Junior Albini,6/29/2019,0,Heavyweight,MALE,-1,3,3,-4,-6,-4,-0.21,-0.5,0.37,6
Chan Sung Jung,6/22/2019,1,Featherweight,MALE,-1,2,5,-4,0,2,-0.95,0.2,-0.75,0
Randy Brown,6/22/2019,1,Welterweight,MALE,-1,-1,-4,3,6,-2,-2.24,0.3,0.2,0
Anderson Dos Santos,6/22/2019,0,Bantamweight,MALE,-1,0,-3,-3,-5,2,-1.04,0.5,-0.01,0
Montana De La Rosa,6/22/2019,0,Women's Flyweight,FEMALE,1,0,0,1,-1,-6,-3.1,1.3,-1.07,0
Alessio Di Chirico,6/22/2019,0,Middleweight,MALE,1,1,3,-3,-7,3,-0.96,-1.1,-0.77,0
Kevin Aguilar,6/22/2019,0,Featherweight,MALE,-1,-1,-2,0,2,3,-0.11,-0.8,-1.88,0
Syuri Kondo,6/22/2019,0,Women's Strawweight,FEMALE,0,-1,-5,-3,-3,-1,2.3,-0.2,-1.33,0
Luis Pena,6/22/2019,1,Lightweight,MALE,-8,-4,-26,5,7,-10,0.52,-0.5,-1.83,0
Jairzinho Rozenstruik,6/22/2019,1,Heavyweight,MALE,0,-1,-1,1,2,2,0.77,-1.2,-1.85,-3
Molly McCann,6/22/2019,1,Women's Flyweight,FEMALE,1,0,2,-2,-5,4,3.11,0.6,0,0
Eric Spicely,6/22/2019,0,Middleweight,MALE,2,4,9,7,3,2,-2.89,1,-2.8,0
